db,Label,Value
sau2003bolmyren2013,,3006
sau2003lytt2021,,3006
sau2003pos3,,3006
sau2003stormossen1,,3006
sau2003stormossen3,,3006
sau2003stormossen4,,3006
sau2003stormossen6,,3006
sau2003trekanten3043,,3006
sau2004nol87,,3006
sau2004pos1,,3006
sau2004san2091,,3006
sau2004stor1,,3006
sau2004via2077,,3006
sau2004via2078,,3006
sau2004via2079,,3006
sau2004via2080,,3006
sau2004via2085,,3006
sau2005saga19_41,,3006
sau2005saga36a,,-1
sau2005saga36,,3006
sau2005saga37,,3006
sau2005sanbo3024,,3006
sau2005vvbo3025,,3006
sau2005vvme1,,3006
sau2005vvme2,,3006
sau2005vvme3,,3006
sau2006rim1071,,-1
sau2006saga103_104,,3006
sau2006saga328,,3006
sau2006saga329,,3006
sau2006ult2074,,3006
sau2006ult2075,,3006
sau2006vsk3069,,3006
sau2007arl2021,,3006
sau2007mor2098,,3006
sau2007mor3088,,3006
sau2007pal2053,,-1
sau2007pal3091,,3006
sau2007ram2028,,3006
sau2007sof3028,,3006
sau2007ulr2010,,3006
sau2007ult1080,,3006
sau2008arn2112,,3006
sau2008arn3107,,3006
sau2008rim2106,,-1
sau2008ulr3108,,3006
sau2008ult2110,,3006
sau2008ult3105,,3006
sau2008vsk2051,,3006
sau2009ful1102,,3006
sau2009got2115,,3006
sau2009hog2119,,-1
sau2009hul2118,,-1
sau2009kva2117,,3006
sau2009nor2127,,3006
sau2009ovi2123,,3006
sau2009sgu3114,,3006
sau2009ult2125,,3006
sau2009ult2131,,3006
sau2009ult3118,,3006
sau2009vsk3113,,3006
sau2010gil3128,,3006
sau2010got3120,,3006
sau2010hog3119,,-1
sau2010ras635,,3006
sau2010ras659,,3006
sau2010sta2116,,3006
sau2010una4089,,3006
sau2011backlosa1123,,3006
sau2011hok1112,,3006
sau2011kaf2148,,3006
sau2011lager4096,,-1
sau2011navertorp2148,,3006
sau2011rosendal2140,,3006
sau2011stenkvista4099,,3006
sau2011thaikiosk4100,,3006
sau2011ult2144,,3006
sau2012erb_1125,,3006
sau2012kall2152,,3006
sau2012prast4103,,3006
sau2012slum2160,,3006
sau2012ult4106husc4115,,3006
sau2012vangsta2153,,3006
sau2012_ostra_viggeby_1124,,3006
sau2013brott2167,,3006
sau2013hedens1129,,3006
sau2013libro1137,,3006
sau2013tann1134,,3006
sau2013_hoekaasen_1128,,3006
sau2013_skepparen_2,,3006
sau2014almby2173,,3006
sau2014bettorp1144,,3006
sau2014bettorp1153,,3006
sau2014bettorp2175,,3006
sau2014eklu1139,,3006
sau2014krono1159,,3006
sau2014kvarntorp1147,,3006
sau2014ofyr2172,,3006
sau2014rallsta4115,,3006
sau2014runnaby1151,,3006
sau2014skaelby,,3006
sau2014till1141,,3006
sau2014uthamrafu2169,,3006
sau_2002_vax333,,3006
