Databas	SRID	SRID_org	anteckning	ändrat attributet i DB
sau2003bolmyren2013	3022	0		X
sau2003lytt2021	3021			X
sau2003pos3	3022			X
sau2003stormossen1	3022			X
sau2003stormossen3	3022			X
sau2003stormossen4	3022			X
sau2003stormossen6	3022			X
sau2003trekanten3043	3021			X
sau2004nol87	st74-65-1	0		X
sau2004pos1	3022			X
sau2004san2091	3021			X
sau2004stor1	3022			X
sau2004via2077	3021	3022		X
sau2004via2078	3021	3022		X
sau2004via2079	3021	3022		X
sau2004via2080	3021	3022		X
sau2004via2085	3021	3022		X
sau2005saga19_41	3021			X
sau2005saga36a	0	0	fritt koordsys? Bara 4 siffror-ca 24x24 m	
sau2005saga36	3021		??	X
sau2005saga37	3021		e har 1 siffra för mycket 8 istället för sju	X
sau2005sanbo3024	3021		5-siffriga koord	X
sau2005vvbo3025	3021			X
sau2005vvme1	3021			X
sau2005vvme2	3021			X
sau2005vvme3	3021			X
sau2006rim1071	0	0	??	
sau2006saga103_104	3021			X
sau2006saga328	3021			X
sau2006saga329	3021			X
sau2006ult2074	UK72	0		X
sau2006ult2075	UK72	0		X
sau2006vsk3069	3021			X
sau2007arl2021	st74_65-1	0		X
sau2007mor2098	3021			X
sau2007mor3088	3021			X
sau2007pal2053	0	3021	e har 1 siffra för mycket 8 istället för sju	
sau2007pal3091	3021			X
sau2007ram2028	3021			X
sau2007sof3028	3021			X
sau2007ulr2010	3021			X
sau2007ult1080	UK72	0		X
sau2008arn2112	st74_65-1	0		X
sau2008arn3107	3021	4124		X
sau2008rim2106	0	3021	5-siffriga koord	
sau2008ulr3108	3021			X
sau2008ult2110	UK72	0		X
sau2008ult3105	UK72	0		X
sau2008vsk2051	3021			X
sau2009ful1102	3021			X
sau2009got2115	3021			X
sau2009hog2119	0	3006		
sau2009hul2118	0	3006		
sau2009kva2117	3021			X
sau2009nor2127	3006			X
sau2009ovi2123	3021			X
sau2009sgu3114	3021			X
sau2009ult2125	3021			X
sau2009ult2131	3021			X
sau2009ult3118	3021	4124		X
sau2009vsk3113	3021	4124		X
sau2010gil3128	3021	4124		X
sau2010got3120	3006			X
sau2010hog3119	0	3006		
sau2010ras635	3006			X
sau2010ras659	3006			X
sau2010sta2116	3009			X
sau2010una4089	3021	4124		X
sau2011backlosa1123	3006			X
sau2011hok1112	3006			X
sau2011kaf2148	3006			X
sau2011lager4096	0	3006		
sau2011navertorp2148	3006			X
sau2011rosendal2140	3006			X
sau2011stenkvista4099	3006			X
sau2011thaikiosk4100	3027			X
sau2011ult2144	3021			X
sau2012erb_1125	3006			X
sau2012kall2152	3006			X
sau2012prast4103	3006			X
sau2012slum2160	3006			X
sau2012ult4106husc4115	3021			X
sau2012vangsta2153	3006			X
sau2012_ostra_viggeby_1124	3006			X
sau2013brott2167	3006			X
sau2013hedens1129	3006			X
sau2013libro1137	3006			X
sau2013tann1134	3006			X
sau2013_hoekaasen_1128	3006			X
sau2013_skepparen_2	3006			X
sau2014almby2173	3006			X
sau2014bettorp1144	3006			X
sau2014bettorp1153	3006			X
sau2014bettorp2175	3006			X
sau2014eklu1139	3006			X
sau2014krono1159	3006			X
sau2014kvarntorp1147	3006			X
sau2014ofyr2172	3006			X
sau2014rallsta4115	3006			X
sau2014runnaby1151	3006			X
sau2014skaelby	3006			X
sau2014till1141	3006			X
sau2014uthamrafu2169	3006			X
sau_2002_vax333	3022	0		X
